Tanggal,Lintang,Bujur,Magnitudo,Kedalaman,Lokasi,Pheromone_Score,Status_Zona,Radius_Visual_KM
2022-01-01 07:19:00,-8.15271639163772,114.382883140033,4.98,62.0,Banyuwangi,0.500000000000006,Aman,12.780323721252154
2022-01-01 09:27:00,-8.20184973231255,112.885895966267,2.14,174.0,Laut Jawa Timur,0.0,Aman,3.130550111402148
2022-01-01 09:29:00,-8.15544860525971,113.28648176098,7.99,421.0,Lumajang,0.5283343343344058,Aman,26.164733744957886
2022-01-01 14:02:00,-7.84234983182878,113.168277797944,7.4,176.0,"Probolinggo, Jawa Timur",0.2553791049122187,Aman,21.672424278549254
2022-01-02 13:54:00,-7.19882202183768,112.929921652772,5.5,27.0,Laut Jawa Timur,0.0,Aman,12.89864333951443
2022-01-03 22:30:00,-7.68683062963732,113.280158528909,4.66,549.0,"Probolinggo, Jawa Timur",0.0,Aman,10.059557445534073
2022-01-05 22:12:00,-8.30755868100784,114.365018906659,6.09,103.0,Banyuwangi,0.0,Aman,15.028856543330233
2022-01-05 22:25:00,-7.59930410438993,112.98925214586,5.8,482.0,"Pasuruan, Jawa Timur",0.5000000000000444,Aman,16.063487168109106
2022-01-06 03:32:00,-8.00925436433367,112.693499131075,7.57,488.0,"Malang, Jawa Timur",0.5000000000000454,Aman,23.951993194565535
2022-01-07 05:01:00,-7.81699253104566,113.246798086895,2.51,512.0,"Probolinggo, Jawa Timur",0.0,Aman,3.9765878589564694
2022-01-07 15:39:00,-8.20398789252763,114.327283615676,3.11,685.0,"Banyuwangi, Jawa Timur",0.0,Aman,5.484544739538552
2022-01-08 07:30:00,-8.21760877484517,113.14956304743,4.91,461.0,Lumajang,0.0,Aman,10.879833224824727
2022-01-08 13:31:00,-8.30383985460679,114.331246035942,3.08,392.0,Banyuwangi,0.0,Aman,5.405378062633547
2022-01-08 16:59:00,-8.12334829617477,114.451455649838,6.36,233.0,"Banyuwangi, Jawa Timur",0.011031031031033579,Aman,16.092388747773292
2022-01-09 06:12:00,-8.21237187476595,113.264363310294,4.68,387.0,"Laut Selatan Jawa, Barat Daya Lumajang",0.0,Aman,10.124387981502881
